Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position,
126408-213367,SF,Jamison,Jamison Battle,Battle,5.788888719,36,3500,CHI@TOR,TOR,CHI,,,,,,SF
126408-203765,SG,AJ,AJ Johnson,Johnson,5.727999878,25,3700,SA@DAL,DAL,SA,D,Not injury related,,,,SG
126408-157832,PG,Sharife,Sharife Cooper,Cooper,5.637499809,8,3600,WAS@DET,WAS,DET,,,,,,PG
126408-203813,PF,Bobi,Bobi Klintman,Klintman,5.550000191,8,3500,WAS@DET,DET,WAS,,,,,,PF
126408-171762,PG,JD,JD Davison,Davison,5.236363498,22,3500,CHA@HOU,HOU,CHA,,,,,,PG
126408-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,5.113636364,22,3500,SA@DAL,SA,DAL,,,,,,PG
126408-203799,C,Jonathan,Jonathan Mogbo,Mogbo,4.971428644,21,3500,CHI@TOR,TOR,CHI,,,,,,C
126408-171665,C,Orlando,Orlando Robinson,Robinson,4.824999809,4,3500,BKN@ORL,ORL,BKN,,,,,,C
126408-203782,SG,Antonio,Antonio Reeves,Reeves,4.714285714,7,3500,CHA@HOU,CHA,HOU,,,,,,SG
126408-145548,PF,Anthony,Anthony Gill,Gill,4.5,25,3600,WAS@DET,WAS,DET,,,,,,PF
126408-180555,SF,Jamal,Jamal Cain,Cain,4.449999915,18,3500,BKN@ORL,ORL,BKN,,,,,,SF
126408-203781,C,N'Faly,N'Faly Dante,Dante,4.099999905,4,3500,UTA@ATL,ATL,UTA,O,Knee,,,,C
126408-171783,PF,E.J.,E.J. Liddell,Liddell,3.820000076,10,3500,BKN@ORL,BKN,ORL,,,,,,PF
126408-165854,SG,Lindy,Lindy Waters,Waters,3.70357132,28,3500,SA@DAL,SA,DAL,O,Knee,,,,SG
126408-171771,SF,Caleb,Caleb Houstan,Houstan,3.4,10,3500,UTA@ATL,ATL,UTA,,,,,,SF
126408-228181,PG,Chucky,Chucky Hepburn,Hepburn,3.099999905,2,3500,CHI@TOR,TOR,CHI,O,Knee,,,,PG
126408-9648,SF,Jeff,Jeff Green,Green,2.917646969,17,3500,CHA@HOU,HOU,CHA,,,,,,SF
126408-203793,SF,Harrison,Harrison Ingram,Ingram,2.650000095,4,3500,SA@DAL,SA,DAL,,,,,,SF
126408-55056,C,Dario,Dario Saric,Saric,2.639999962,5,3500,WAS@DET,DET,WAS,O,Not injury related,,,,C
126408-14505,C,Bismack,Bismack Biyombo,Biyombo,2.574999968,12,3500,SA@DAL,SA,DAL,,,,,,C
126408-203784,SF,Isaiah,Isaiah Crawford,Crawford,2.299999952,4,3500,CHA@HOU,HOU,CHA,,,,,,SF
126408-11074,SG,Garrett,Garrett Temple,Temple,1.830769172,13,3500,CHI@TOR,TOR,CHI,,,,,,SG
126408-172097,PG,Tyson,Tyson Etienne,Etienne,1.5625,8,3500,BKN@ORL,BKN,ORL,,,,,,PG
126408-228123,PF,Noa,Noa Essengue,Essengue,1.5,2,3500,CHI@TOR,CHI,TOR,O,Shoulder,,,,PF
126408-203775,PG,Tristen,Tristen Newton,Newton,1.475000024,8,3500,CHA@HOU,HOU,CHA,,,,,,PG
